query-id	corpus-id	score
qid2	did2	1
qid19	did19	1
qid27	did27	1
qid30	did30	1
qid31	did31	1
qid32	did32	1
qid50	did50	1
qid55	did55	1
qid87	did87	1
qid88	did88	1
qid91	did91	1
qid92	did92	1
qid97	did97	1
qid110	did110	1
qid113	did113	1
qid127	did127	1
qid130	did130	1
qid158	did157	1
qid173	did172	1
qid176	did174	1
qid218	did216	1
qid223	did221	1
qid224	did222	1
qid234	did231	1
qid239	did236	1
qid249	did245	1
qid261	did256	1
qid264	did259	1
qid270	did265	1
qid302	did297	1
qid305	did300	1
qid308	did303	1
qid318	did313	1
qid351	did345	1
qid359	did353	1
qid384	did377	1
qid390	did383	1
qid391	did384	1
qid396	did389	1
qid402	did395	1
qid424	did125	1
qid432	did424	1
qid441	did433	1
qid452	did444	1
qid471	did462	1
qid514	did505	1
qid533	did524	1
qid552	did542	1
qid554	did544	1
qid567	did557	1
qid573	did563	1
qid576	did566	1
qid581	did571	1
qid593	did583	1
qid595	did585	1
qid601	did591	1
qid613	did570	1
qid624	did612	1
qid635	did623	1
qid644	did632	1
qid646	did634	1
qid650	did638	1
qid671	did659	1
qid679	did667	1
qid692	did680	1
qid704	did691	1
qid724	did710	1
qid725	did711	1
qid731	did717	1
qid732	did718	1
qid734	did720	1
qid739	did724	1
qid760	did745	1
qid762	did747	1
qid773	did758	1
qid775	did760	1
qid778	did193	1
qid791	did775	1
qid792	did92	1
qid804	did786	1
qid811	did793	1
qid814	did796	1
qid824	did806	1
qid834	did816	1
qid841	did440	1
qid859	did839	1
qid862	did840	1
qid878	did857	1
qid881	did860	1
qid900	did877	1
qid912	did888	1
qid914	did890	1
qid922	did898	1
qid930	did669	1
qid944	did918	1
qid950	did923	1
qid956	did929	1
qid970	did942	1
qid975	did946	1
qid982	did953	1
qid998	did967	1
qid999	did968	1
qid1011	did980	1
qid1019	did418	1
qid1021	did988	1
qid1054	did1017	1
qid1055	did1018	1
qid1062	did1024	1
qid1090	did1050	1
qid1091	did1051	1
qid1100	did1059	1
qid1117	did1075	1
qid1119	did1077	1
qid1122	did1080	1
qid1136	did1094	1
qid1163	did1120	1
qid1172	did1129	1
qid1200	did1156	1
qid1218	did1174	1
qid1220	did1176	1
qid1336	did1287	1
qid1342	did1293	1
qid1347	did1298	1
qid1353	did1304	1
qid1362	did1312	1
qid1365	did1315	1
